County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
St. Lawrence,89,2015,13625,11,11,0,0,0,0,0,0,"(44.538104, -74.928858)","(44.488113, -75.074311)"
St. Lawrence,89,2015,13680,19,NA,NA,NA,NA,NA,NA,NA,"(44.591957, -75.320308)","(44.488113, -75.074311)"
Warren,113,2017,12817,20,20,0,0,0,0,0,0,"(43.63599, -73.803616)","(43.555105, -73.838139)"
St. Lawrence,89,2011,13652,9,NA,NA,0,0,0,0,0,"(44.472545, -75.234487)","(44.488113, -75.074311)"
Warren,113,2006,12846,26,19,7,0,0,0,0,0,"(43.32678, -73.82022)","(43.555105, -73.838139)"
Herkimer,43,2014,13431,20,NA,NA,0,0,0,0,0,"(43.2051, -75.0726)","(43.1631, -74.8741)"
Clinton,19,2009,12981,26,26,0,0,0,0,0,0,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Essex,31,2018,12996,15,NA,NA,0,0,0,0,0,"(44.37414, -73.4172)","(44.108971, -73.777573)"
Essex,31,2000,12974,7,NA,NA,NA,NA,NA,NA,NA,"(44.045341, -73.465362)","(44.108971, -73.777573)"
Herkimer,43,2013,13502,17,NA,NA,0,0,0,0,0,"(43.12746, -75.21426)","(43.1631, -74.8741)"
Clinton,19,2017,12919,36,NA,NA,NA,NA,NA,NA,NA,"(44.96514, -73.4343)","(44.75271, -73.705648)"
Jefferson,45,2017,13612,38,38,0,0,0,0,0,0,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Herkimer,43,2008,13331,7,7,0,0,0,0,0,0,"(43.841882, -74.878424)","(43.1631, -74.8741)"
St. Lawrence,89,2006,13668,26,18,8,0,0,0,0,0,"(44.76282, -74.99124)","(44.488113, -75.074311)"
Jefferson,45,2009,13605,69,NA,NA,NA,NA,NA,NA,NA,"(43.8231, -76.03686)","(44.0607, -75.9928)"
Warren,113,2002,12817,13,NA,NA,0,0,0,0,0,"(43.63599, -73.803616)","(43.555105, -73.838139)"
Jefferson,45,2000,13608,6,NA,NA,0,0,0,0,0,"(44.198498, -75.607636)","(44.0607, -75.9928)"
Franklin,33,2013,12916,21,21,0,0,0,0,0,0,"(44.827852, -74.530013)","(44.594374, -74.31067)"
Clinton,19,2010,12910,13,NA,NA,0,0,0,0,0,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Warren,113,2000,12853,9,NA,NA,0,0,0,0,0,"(43.721592, -73.920875)","(43.555105, -73.838139)"
Lewis,49,2012,13626,27,NA,NA,0,0,0,0,0,"(43.895883, -75.707121)","(43.786397, -75.442617)"
Clinton,19,2013,12962,49,NA,NA,0,0,0,0,0,"(44.70354, -73.57572)","(44.75271, -73.705648)"
Essex,31,2011,12998,6,NA,NA,NA,NA,NA,NA,NA,"(44.086571, -73.536128)","(44.108971, -73.777573)"
Jefferson,45,2012,13624,28,NA,NA,0,0,0,0,0,"(44.239325, -76.08045)","(44.0607, -75.9928)"
Jefferson,45,2014,13685,25,25,0,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
Franklin,33,2010,12926,6,NA,NA,NA,NA,NA,NA,NA,"(44.94762, -74.3373)","(44.594374, -74.31067)"
